code,symbol,name
15,НМ,Нанометр
112,Л; ДМ3,Литр; кубический дециметр
5,ДМ,Дециметр
431,ВЗЛЕТ. ПОСАДОК/ЧАС,Взлетов-посадок в час
435,МЛН КМ,Миллион километров
164,МКГ,Микрограмм
2543,КБИТ/С,Килобит в секунду
2545,МБИТ/С,Мегабит в секунду
2547,ГБИТ/С,Гигабит в секунду
2551,БАЙТ/С,Байт в секунду
2552,ГБАЙТ/С,Гигабайт в секунду
2554,ТБАЙТ,Терабайт
2555,ПБАЙТ,Петабайт
2557,ЗБАЙТ,Зеттабайт
2561,КБАЙТ/С,Килобайт в секунду
2571,МБАЙТ/С,Мегабайт в секунду
226,В.А,Вольт-ампер
2312,ГР/МИН,Грей в минуту
233,ГИГАКАЛ,Гигакалория
2541,БИТ/С,Бит в секунду
3135,ДЕЦИБЕЛ,Децибел
321,МЗВ,Миллизиверт
383,руб,Рубль
414,пасс.км,Пассажиро-километр
421,пасс. мест,Пассажирское место (пассажирских мест)
427,пасс.поток,Пассажиропоток
449,т.км,Тонно-километр
499,кг/с,Килограмм в секунду
509,км/сут,Километр в сутки
510,г/кВт.ч,Грамм на киловатт-час
511,кг/Гкал,Килограмм на гигакалорию
512,т.ном,Тонно-номер
513,авто т,Автотонна
514,т.тяги,Тонна тяги
515,дедвейт.т,Дедвейт-тонна
533,т пар/ч,Тонна пара в час
534,т/ч,Тонна в час
535,т/сут,Тонна в сутки
536,т/смен,Тонна в смену
539,чел.ч,Человеко-час
540,чел.дн,Человеко-день
320,МОЛЬ,Моль
5423,чел/год,Человек в год
545,посещ/смен,Посещение в смену
5451,посещ,Посещение
547,пар/смен,Пара в смену
552,т перераб/сут,Тонна переработки в сутки
554,ц перераб/сут,Центнер переработки в сутки
616,боб,Бобина
625,л.,Лист
626,100 л.,Сто листов
630,тыс станд. усл. кирп,Тысяча стандартных условных кирпичей
639,доз,Доза
642,ед,Единица
6421,ед/год,Единиц в год
6422,вызов,Вызов
6424,штамм,Штамм
657,изд,Изделие
661,канал,Канал
698,мест,Место
704,набор,Набор
728,пач,Пачка
730,20,Два десятка
732,10 пар,Десять пар
733,дюжина пар,Дюжина пар
734,посыл,Посылка
735,часть,Часть
737,дюжина рул,Дюжина рулонов
740,дюжина шт,Дюжина штук
744,%,Процент
745,элем,Элемент
746,промилле,"Промилле (0,1 процента)"
762,станц,Станция
736,РУЛ,Рулон
778,упак,Упаковка
780,дюжина упак,Дюжина упаковок
781,100 упак,Сто упаковок
792,чел,Человек
7923,Абонент,Абонент
797,100 шт,Сто штук
810,яч,Ячейка
812,ящ,Ящик
820,креп. спирта по массе,Крепость спирта по массе
821,креп. спирта по объему,Крепость спирта по объему
836,гол,Голова
8361,ос,Особь
839,компл,Комплект
840,секц,Секция
861,кг N,Килограмм азота
867,кг U,Килограмм урана
868,бут,Бутылка
870,ампул,Ампула
872,флак,Флакон
8751,кор,Коробка
876,усл. ед,Условная единица
